Year,Model,map_code,original_class_label,pixel_count,area_m2,area_ha,area_km2
2017,RF,1,BL,10257,1025700,102.6,1.0
2017,RF,2,BU,477855,47785500,4778.6,47.8
2017,RF,3,GL,93549,9354900,935.5,9.4
2017,RF,4,TR,149584,14958400,1495.8,15.0
2017,RF,5,WB,15222,1522200,152.2,1.5
2021,RF,1,BL,15794,1579400,157.9,1.6
2021,RF,2,BU,421983,42198300,4219.8,42.2
2021,RF,3,GL,173012,17301200,1730.1,17.3
2021,RF,4,TR,127868,12786800,1278.7,12.8
2021,RF,5,WB,7803,780300,78.0,0.8
2026,RF,1,BL,9848,984800,98.5,1.0
2026,RF,2,BU,449650,44965000,4496.5,45.0
2026,RF,3,GL,150520,15052000,1505.2,15.1
2026,RF,4,TR,123572,12357200,1235.7,12.4
2026,RF,5,WB,12871,1287100,128.7,1.3
2017,SVM,1,BL,20439,2043900,204.4,2.0
2017,SVM,2,BU,451742,45174200,4517.4,45.2
2017,SVM,3,GL,89639,8963900,896.4,9.0
2017,SVM,4,TR,166715,16671500,1667.2,16.7
2017,SVM,5,WB,17932,1793200,179.3,1.8
2021,SVM,1,BL,20439,2043900,204.4,2.0
2021,SVM,2,BU,451742,45174200,4517.4,45.2
2021,SVM,3,GL,89639,8963900,896.4,9.0
2021,SVM,4,TR,166715,16671500,1667.2,16.7
2021,SVM,5,WB,17932,1793200,179.3,1.8
2026,SVM,1,BL,20439,2043900,204.4,2.0
2026,SVM,2,BU,451742,45174200,4517.4,45.2
2026,SVM,3,GL,89639,8963900,896.4,9.0
2026,SVM,4,TR,166715,16671500,1667.2,16.7
2026,SVM,5,WB,17932,1793200,179.3,1.8
2017,TabNet,1,BL,19294,1929400,192.9,1.9
2017,TabNet,2,BU,452620,45262000,4526.2,45.3
2017,TabNet,3,GL,100425,10042500,1004.3,10.0
2017,TabNet,4,TR,158161,15816100,1581.6,15.8
2017,TabNet,5,WB,15967,1596700,159.7,1.6
2021,TabNet,1,BL,29978,2997800,299.8,3.0
2021,TabNet,2,BU,462175,46217500,4621.8,46.2
2021,TabNet,3,GL,131120,13112000,1311.2,13.1
2021,TabNet,4,TR,116140,11614000,1161.4,11.6
2021,TabNet,5,WB,7047,704700,70.5,0.7
2026,TabNet,1,BL,29978,2997800,299.8,3.0
2026,TabNet,2,BU,462175,46217500,4621.8,46.2
2026,TabNet,3,GL,131120,13112000,1311.2,13.1
2026,TabNet,4,TR,116140,11614000,1161.4,11.6
2026,TabNet,5,WB,7047,704700,70.5,0.7
2017,FTT,1,BL,29978,2997800,299.8,3.0
2017,FTT,2,BU,462175,46217500,4621.8,46.2
2017,FTT,3,GL,131120,13112000,1311.2,13.1
2017,FTT,4,TR,116140,11614000,1161.4,11.6
2017,FTT,5,WB,7047,704700,70.5,0.7
2021,FTT,1,BL,29978,2997800,299.8,3.0
2021,FTT,2,BU,462175,46217500,4621.8,46.2
2021,FTT,3,GL,131120,13112000,1311.2,13.1
2021,FTT,4,TR,116140,11614000,1161.4,11.6
2021,FTT,5,WB,7047,704700,70.5,0.7
2026,FTT,1,BL,29978,2997800,299.8,3.0
2026,FTT,2,BU,462175,46217500,4621.8,46.2
2026,FTT,3,GL,131120,13112000,1311.2,13.1
2026,FTT,4,TR,116140,11614000,1161.4,11.6
2026,FTT,5,WB,7047,704700,70.5,0.7
