Year,Model_Display,feature,importance
2017,RF,NDVI,0.14
2017,RF,B04,0.13
2017,RF,B11,0.13
2017,RF,B08,0.11
2017,RF,B03,0.1
2017,RF,BSI,0.09
2017,RF,B02,0.09
2017,RF,B12,0.08
2017,RF,MNDWI,0.06
2017,RF,IBI,0.05
2017,RF,NDBI,0.02
2021,RF,NDVI,0.15
2021,RF,B03,0.14
2021,RF,B04,0.12
2021,RF,B08,0.11
2021,RF,B11,0.1
2021,RF,B02,0.1
2021,RF,B12,0.09
2021,RF,MNDWI,0.08
2021,RF,BSI,0.06
2021,RF,NDBI,0.03
2021,RF,IBI,0.02
2026,RF,B04,0.14
2026,RF,B02,0.14
2026,RF,NDVI,0.14
2026,RF,B11,0.13
2026,RF,B12,0.11
2026,RF,BSI,0.08
2026,RF,B08,0.07
2026,RF,B03,0.07
2026,RF,NDBI,0.05
2026,RF,IBI,0.04
2026,RF,MNDWI,0.02
2017,SVM,NDVI,0.27
2017,SVM,B04,0.27
2017,SVM,B02,0.23
2017,SVM,B11,0.18
2017,SVM,B08,0.12
2017,SVM,NDBI,0.12
2017,SVM,BSI,0.11
2017,SVM,B12,0.11
2017,SVM,MNDWI,0.11
2017,SVM,B03,0.08
2017,SVM,IBI,0
2021,SVM,B08,0.28
2021,SVM,BSI,0.18
2021,SVM,NDBI,0.17
2021,SVM,B11,0.16
2021,SVM,B02,0.14
2021,SVM,B04,0.13
2021,SVM,MNDWI,0.12
2021,SVM,NDVI,0.11
2021,SVM,B12,0.1
2021,SVM,B03,0.04
2021,SVM,IBI,0.01
2026,SVM,NDVI,0.27
2026,SVM,B04,0.27
2026,SVM,B02,0.23
2026,SVM,B11,0.18
2026,SVM,B08,0.12
2026,SVM,NDBI,0.12
2026,SVM,BSI,0.11
2026,SVM,B12,0.11
2026,SVM,MNDWI,0.11
2026,SVM,B03,0.08
2026,SVM,IBI,0
2017,TabNet,B08,0.17
2017,TabNet,B11,0.15
2017,TabNet,B12,0.11
2017,TabNet,BSI,0.11
2017,TabNet,B02,0.1
2017,TabNet,NDVI,0.08
2017,TabNet,B04,0.07
2017,TabNet,NDBI,0.06
2017,TabNet,B03,0.05
2017,TabNet,MNDWI,0.05
2017,TabNet,IBI,0.05
2021,TabNet,B08,0.2
2021,TabNet,BSI,0.16
2021,TabNet,B02,0.1
2021,TabNet,B11,0.1
2021,TabNet,B03,0.08
2021,TabNet,B04,0.08
2021,TabNet,NDBI,0.08
2021,TabNet,NDVI,0.06
2021,TabNet,B12,0.05
2021,TabNet,IBI,0.04
2021,TabNet,MNDWI,0.04
2026,TabNet,B11,0.14
2026,TabNet,BSI,0.13
2026,TabNet,NDVI,0.11
2026,TabNet,B12,0.1
2026,TabNet,B02,0.1
2026,TabNet,B08,0.09
2026,TabNet,MNDWI,0.09
2026,TabNet,NDBI,0.09
2026,TabNet,B03,0.06
2026,TabNet,B04,0.05
2026,TabNet,IBI,0.04
2017,FTT,B04,0.14
2017,FTT,B02,0.1
2017,FTT,IBI,0.07
2017,FTT,MNDWI,0.04
2017,FTT,B12,0.04
2017,FTT,B11,0.03
2017,FTT,NDVI,0.03
2017,FTT,B08,0.02
2017,FTT,NDBI,0.01
2017,FTT,B03,0.01
2017,FTT,BSI,0
2021,FTT,B11,0.11
2021,FTT,B02,0.08
2021,FTT,B03,0.06
2021,FTT,BSI,0.04
2021,FTT,IBI,0.03
2021,FTT,NDBI,0.03
2021,FTT,B08,0.02
2021,FTT,B04,0.02
2021,FTT,MNDWI,0.01
2021,FTT,NDVI,0.01
2021,FTT,B12,0
2026,FTT,B11,0.11
2026,FTT,B02,0.08
2026,FTT,B03,0.06
2026,FTT,BSI,0.04
2026,FTT,IBI,0.03
2026,FTT,NDBI,0.03
2026,FTT,B08,0.02
2026,FTT,B04,0.02
2026,FTT,MNDWI,0.01
2026,FTT,NDVI,0.01
2026,FTT,B12,0
